Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,prediction,Hit?,odds,B365H,B365D,B365A,AHCh,AHCh_res,AHCh_odds,B365CAHH,B365CAHA,-38,60
SP2,28/9/2019,Santander,Numancia,0,0,Draw,Numancia,0,-1,2,3,4.33,-0.5,Numancia,0,1.98,1.88,,
I1,28/9/2019,Juventus,Spal,2,0,Juventus,Juventus,1,0.22,1.22,6,13,-2,Draw,0,2,1.8,,
I1,28/9/2019,Sampdoria,Inter,1,3,Inter,Inter,1,0.65,5.25,3.8,1.65,0.75,Inter,0.93,2,1.93,,
I1,28/9/2019,Sassuolo,Atalanta,1,4,Atalanta,Atalanta,1,1.05,3.5,3.6,2.05,0.75,Atalanta,1,1.93,2,,
I2,28/9/2019,Frosinone,Cosenza,1,1,Draw,Cosenza,0,-1,1.75,3.4,5,-0.75,Cosenza,0,2.05,1.8,,
I2,28/9/2019,Juve Stabia,Cittadella,0,1,Cittadella,Cittadella,1,1.62,2.75,3.1,2.62,0,Cittadella,0.83,2.02,1.83,,
I2,28/9/2019,Venezia,Pisa,1,1,Draw,Pisa,0,-1,2.5,3.1,2.9,-0.25,Pisa,0,2.13,1.75,,
I2,28/9/2019,Empoli,Perugia,3,0,Empoli,Empoli,1,0.95,1.95,3.3,4,-0.25,Empoli,0.83,1.83,2.02,,
F1,28/9/2019,Lyon,Nantes,0,1,Nantes,Nantes,1,6,1.55,3.8,7,-1,Nantes,1.04,1.89,2.04,,
F1,28/9/2019,Bordeaux,Paris SG,0,1,Paris SG,Paris SG,1,0.5,6,4.75,1.5,1.25,Bordeaux,-0.5,1.93,2,,
F1,28/9/2019,Angers,Amiens,1,1,Draw,Angers,0,-1,1.75,3.4,5.5,-0.75,Amiens,0,1.91,2.02,,
F1,28/9/2019,Metz,Toulouse,2,2,Draw,Draw,1,2.25,2.1,3.25,3.8,-0.25,Toulouse,0,1.84,2.09,,
F1,28/9/2019,Monaco,Brest,4,1,Monaco,Brest,0,-1,1.5,4,7.5,-1.25,Monaco,-1,1.93,2,,
F1,28/9/2019,Nice,Lille,1,1,Draw,Lille,0,-1,2.9,3.2,2.55,0.25,Nice,0,1.8,2.14,,
F1,28/9/2019,Reims,Dijon,1,2,Dijon,Draw,0,-1,1.72,3.4,5.75,-0.75,Dijon,-1,1.99,1.94,,
F2,28/9/2019,Lens,Paris FC,2,1,Lens,Lens,1,0.53,1.53,3.8,6.5,-0.75,Lens,0.475,1.95,1.9,,
B1,28/9/2019,Mechelen,Club Brugge,0,5,Club Brugge,Club Brugge,1,0.5,6,4.33,1.5,1.25,Club Brugge,0.88,1.98,1.88,,
B1,28/9/2019,Cercle Brugge,Eupen,1,2,Eupen,Cercle Brugge,0,-1,2,3.6,3.25,-0.25,Eupen,-1,1.93,1.93,,
